Season,PA,wRC_Plus,BB_Rate,K_Rate,O_Swing_Rate,Z_Swing_Rate,Swing_Rate,MLBAMID
2017,589,117.3785685,0.05942275,0.179966044,0.3757,0.7614,0.549,592696
2017,467,97.4253556,0.057815845,0.211991434,0.3794,0.7976,0.5483,461314
2018,613,98.08602653,0.039151712,0.151712887,0.4193,0.735,0.548,430945
2016,453,88.22766784,0.075055187,0.253863134,0.3992,0.7643,0.5476,541645
2016,381,58.18114524,0.023622047,0.191601049,0.392,0.7273,0.5475,467827
2021,231,94.80611898,0.06060606,0.225108225,0.4066,0.7394,0.5473,666135
2019,664,121.5571395,0.061746987,0.215361445,0.4088,0.7634,0.5472,592206
2019,296,109.5279097,0.06081081,0.226351351,0.408,0.7664,0.5471,467055
2018,430,108.2914214,0.090697674,0.230232558,0.3503,0.8252,0.547,594988
2017,606,78.72709056,0.021452145,0.267326732,0.4128,0.708,0.5465,641313
2019,294,72.90065558,0.044217687,0.278911564,0.4633,0.6782,0.5464,500135
2019,248,66.27693624,0.06048387,0.173387096,0.4104,0.7486,0.5459,622666
2020,248,107.8743731,0.052419354,0.27016129,0.4235,0.7514,0.5459,646240
2019,294,104.8909032,0.047619047,0.224489795,0.3965,0.7505,0.5457,571980
2020,207,82.61088473,0.096618357,0.236714975,0.3881,0.7867,0.5456,541645
2016,205,95.69330523,0.058536585,0.136585365,0.3807,0.7671,0.5452,543216
2019,480,79.11889704,0.054166666,0.216666666,0.3785,0.7551,0.5448,595281
2017,326,98.26638734,0.0398773,0.211656441,0.3519,0.7486,0.5437,544725
2016,632,102.9375947,0.030063291,0.213607594,0.4177,0.7132,0.5432,596059
2021,634,126.3737966,0.086750788,0.236593059,0.369,0.7975,0.5432,502110
2021,220,87.70066332,0.036363636,0.25,0.4368,0.6915,0.5432,622682
2020,226,137.7925499,0.053097345,0.24778761,0.4107,0.7641,0.5429,650391
2021,365,96.98198472,0.06849315,0.186301369,0.4011,0.7555,0.5428,572816
2016,251,62.01627076,0.043824701,0.254980079,0.3727,0.7368,0.5427,435064
2016,522,86.00258858,0.034482758,0.145593869,0.3709,0.725,0.5427,543281
2017,294,86.45567231,0.030612244,0.156462585,0.3665,0.734,0.5427,607345
2018,479,89.9201478,0.050104384,0.173277661,0.4188,0.7072,0.5426,546991
2018,333,114.6557065,0.081081081,0.264264264,0.3591,0.7755,0.5424,640461
2018,506,75.87618471,0.061264822,0.14229249,0.4137,0.7564,0.5423,500208
2019,421,77.32513221,0.042755344,0.144893111,0.3685,0.7365,0.5423,543829
2018,416,131.9102337,0.076923076,0.192307692,0.3845,0.7896,0.5419,467092
2018,384,103.9866049,0.059895833,0.270833333,0.3754,0.7805,0.5419,570799
2019,327,126.707333,0.076452599,0.345565749,0.3406,0.7948,0.5416,664040
2016,529,119.6911476,0.04347826,0.196597353,0.3922,0.7402,0.5408,516782
2020,206,87.78312814,0.077669902,0.237864077,0.3707,0.7961,0.5408,663586
2020,213,94.366047,0.042253521,0.211267605,0.4383,0.6944,0.5407,622682
2021,622,96.41920124,0.051446945,0.311897106,0.3971,0.7547,0.5407,666969
2019,528,86.59888828,0.058712121,0.191287878,0.4138,0.7287,0.5406,430945
2018,606,85.18897753,0.04950495,0.245874587,0.4025,0.7257,0.5402,641313
2016,447,119.4232687,0.062639821,0.248322147,0.3706,0.7421,0.54,592206
2017,548,86.31414466,0.06569343,0.182481751,0.3867,0.7367,0.5399,606115
2019,403,59.46105694,0.042183622,0.143920595,0.3758,0.7621,0.5399,606299
2021,408,69.1245344,0.061274509,0.164215686,0.3674,0.7688,0.5399,544369
2019,589,89.26010081,0.0475382,0.246179966,0.4017,0.7322,0.5398,520471
2019,295,111.8925938,0.064406779,0.230508474,0.3723,0.7636,0.5393,621439
2017,367,110.2229161,0.062670299,0.239782016,0.4068,0.7324,0.539,571431
2019,524,106.3927401,0.083969465,0.131679389,0.3754,0.7613,0.539,467092
2019,446,92.18425711,0.040358744,0.204035874,0.4187,0.7404,0.5389,623912
2021,442,97.4288939,0.045248868,0.246606334,0.399,0.7282,0.5389,570482
2016,430,90.27707227,0.041860465,0.218604651,0.4123,0.6846,0.5388,541650
2019,618,81.78465912,0.033980582,0.224919093,0.3846,0.732,0.5386,544725
2020,233,88.14379189,0.0472103,0.300429184,0.3755,0.7801,0.5384,609275
2016,478,102.4631188,0.058577405,0.294979079,0.3722,0.7445,0.5383,545341
2018,592,84.55917074,0.048986486,0.201013513,0.4118,0.6935,0.5383,642708
2018,542,88.1934093,0.033210332,0.180811808,0.4345,0.6792,0.5376,607680
2019,369,79.26614846,0.024390243,0.23306233,0.4284,0.6895,0.5369,605612
2018,305,91.47464646,0.072131147,0.278688524,0.3435,0.7724,0.5368,460026
2018,310,86.56064512,0.029032258,0.229032258,0.3798,0.7449,0.5367,593700
2021,445,88.23826331,0.085393258,0.238202247,0.3217,0.8336,0.5366,572233
2018,588,75.3804038,0.015306122,0.136054421,0.4142,0.686,0.5364,543829
2018,606,111.7352589,0.057755775,0.179867986,0.361,0.7717,0.5364,516782
2018,502,77.85918337,0.031872509,0.137450199,0.3992,0.7301,0.5362,456488
2018,435,102.2924604,0.048275862,0.273563218,0.3862,0.7434,0.5361,543228
2016,383,78.34286645,0.044386422,0.237597911,0.3664,0.7352,0.5359,488721
2019,503,93.40334549,0.059642147,0.232604373,0.3903,0.7588,0.5357,592567
2019,221,93.78088386,0.063348416,0.21719457,0.3719,0.7357,0.5355,588751
2021,262,99.95791486,0.076335877,0.175572519,0.4204,0.7208,0.5351,606213
2021,664,132.5049158,0.093373493,0.215361445,0.361,0.7966,0.5348,646240
2018,322,107.097429,0.065217391,0.263975155,0.3902,0.7453,0.5341,518586
2016,581,113.6609357,0.067125645,0.108433734,0.3603,0.727,0.5339,425877
2019,423,94.05465892,0.059101654,0.163120567,0.3824,0.7584,0.5338,429664
2021,412,99.79394825,0.063106796,0.148058252,0.3842,0.7705,0.5338,592696
2021,319,97.27160793,0.050156739,0.194357366,0.3785,0.7273,0.5333,649557
2019,212,142.7845191,0.066037735,0.235849056,0.3856,0.75,0.5332,666182
2020,210,93.35050124,0.071428571,0.166666666,0.3653,0.7435,0.5331,572816
2021,409,146.2662367,0.117359413,0.161369193,0.3201,0.846,0.533,608369
2018,388,107.0555795,0.05670103,0.110824742,0.3702,0.7431,0.5327,435559
2019,586,118.0451318,0.042662116,0.160409556,0.364,0.7737,0.5327,516782
2018,605,126.4040676,0.069421487,0.188429752,0.3772,0.7364,0.5325,572039
2021,312,41.96850177,0.048076923,0.278846153,0.3772,0.7387,0.5325,595978
2019,264,63.84642237,0.079545454,0.295454545,0.3538,0.7694,0.5318,547982
2021,326,102.3828915,0.052147239,0.193251533,0.3693,0.7446,0.5311,624641
2017,348,65.62014536,0.06321839,0.192528735,0.3494,0.7488,0.5308,461865
2016,259,51.57815401,0.057915057,0.189189189,0.3307,0.7783,0.5307,346874
2017,629,61.20197223,0.023847376,0.162162162,0.3678,0.7195,0.5307,444876
