season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2021,Kyle Higashioka,NYY,211,0.635046533,0.272164526,,72.35069666,0.08056872,95.06140099,0.279620853,122.226336,0.3014,0.7138,0.4657,Kyle Higashioka,5517,543309
2017,Raffy Lopez,TOR,63,0.769414574,0.324828562,,101.7355847,0.111111111,131.922087,0.333333333,156.5378785,0.3206,0.6293,0.4656,Raffy Lopez,12606,607257
2019,AJ Pollock,LAD,342,0.795017847,0.332677354,,106.7357012,0.067251461,75.90544333,0.216374269,98.98906962,0.3158,0.6705,0.4656,AJ Pollock,9256,572041
2020,Chad Wallach,MIA,48,0.640232107,0.278404448,,73.88585205,0.0625,67.40986252,0.25,108.193259,0.3,0.6517,0.4656,Chad Wallach,17161,595453
2021,Gavin Lux,LAD,381,0.692263093,0.303316388,,90.37685553,0.107611548,117.1548625,0.217847769,97.68038364,0.2634,0.7217,0.4656,Gavin Lux,19955,666158
2018,Jorge Bonifacio,KCR,270,0.672437148,0.295704372,,82.64648704,0.107407407,129.3843825,0.262962962,120.6700442,0.2733,0.7282,0.4655,Jorge Bonifacio,12174,593528
2019,JaCoby Jones,DET,333,0.739771164,0.311474755,,92.29728492,0.081081081,95.36852391,0.282282282,123.4582227,0.3272,0.6605,0.4655,JaCoby Jones,14818,592444
2019,Steven Duggar,SFG,281,0.618576239,0.265384896,,63.0510673,0.056939501,64.26653045,0.277580071,126.9901135,0.2848,0.6884,0.4655,Steven Duggar,17719,621453
2021,Marwin Gonzalez,- - -,307,0.578857629,0.259455586,,56.54060946,0.065146579,76.8651299,0.254071661,111.0584132,0.3556,0.62,0.4655,Marwin Gonzalez,5497,503556
2022,JJ Bleday,MIA,238,0.586134453,0.265990307,,68.26221303,0.12605042,150.8568679,0.281512605,124.4865381,0.2775,0.7381,0.4655,JJ Bleday,26368,668709
2023,Tyler Nevin,DET,111,0.622095779,0.282073596,,76.2667607,0.108108108,129.1226945,0.225225225,97.34039076,0.26,0.7056,0.4655,Tyler Nevin,17893,663527
2018,Elias Díaz,PIT,277,0.791731132,0.339720527,,113.6423748,0.075812274,84.47558512,0.144404332,66.92822439,0.2951,0.6921,0.4654,Elias Diaz,11680,553869
2020,Phillip Evans,PIT,45,0.931623931,0.408568976,,157.0164663,0.111111111,119.8397555,0.155555555,67.32024983,0.2903,0.7121,0.4654,Phillip Evans,12950,595943
2020,Sam Hilliard,COL,114,0.710025062,0.301287464,,71.80198387,0.078947368,85.14929957,0.368421052,159.4426973,0.3185,0.68,0.4654,Sam Hilliard,17954,656541
2021,Victor Robles,WSN,369,0.604827136,0.273812965,,68.52994681,0.089430894,97.36189366,0.230352303,103.28727,0.2832,0.701,0.4654,Victor Robles,18363,645302
2022,Jason Vosler,SFG,111,0.811730097,0.34868279,,129.0090669,0.09009009,107.8196234,0.261261261,115.531274,0.3525,0.6519,0.4654,Jason Vosler,16686,613564
2023,Kyle Tucker,HOU,674,0.886237194,0.371979957,,139.7268233,0.118694362,141.7667567,0.136498516,58.99347591,0.2592,0.7311,0.4654,Kyle Tucker,18345,663656
2016,Jean Segura,ARI,694,0.867331012,0.371100275,,126.2339125,0.056195965,65.03206853,0.145533141,70.93537313,0.3112,0.6397,0.4653,Jean Segura,5933,516416
2021,Jed Lowrie,OAK,512,0.716608827,0.311228206,,101.2539119,0.095703125,112.9181789,0.2109375,92.20384485,0.2557,0.7297,0.4653,Jed Lowrie,4418,476704
2022,Jazz Chisholm Jr.,MIA,241,0.860211267,0.365135622,,136.0554527,0.087136929,104.2852867,0.273858921,121.1020338,0.307,0.6773,0.4653,Jazz Chisholm Jr.,20454,665862
